Code,Name,Type,Province,District,Seat,Area,Population,PopulationDensity,ElectricityAccess_Percentage,ElectricityAccess_Households,EnergyCharge_Industry,EnergyCharge_Commercial,Total_MWh,Manufacturing_Customers,Manufacturing_MWh,Commercial_Customers,Commercial_MWh,AveragePV_YieldStellenbosch
BUF,Buffalo City,Metropolitan,Eastern Cape,,East London,2536,755200,297.8,80.9,180923,44.37,119.53,1202834,475,322985,6922,402098,1551
CPT,City of Cape Town,Metropolitan,Western Cape,,Cape Town,2460,3740026,1520.3,94,1003400,50.39,103.4,9375178,,,29700,4975155,1756
EC101,Camdeboo,Local,Eastern Cape,Cacadu,Graaff-Reinet,12422,50993,4.1,94.1,11678,31,118,53528,12,4347,576,20141,1918
EC102,Blue Crane Route,Local,Eastern Cape,Cacadu,Somerset East,11068,36002,3.3,86.9,8498,59,110,49687,52,13697,417,10982,1698
EC103,Ikwezi,Local,Eastern Cape,Cacadu,Jansenville,4563,10537,2.3,88.5,2582,112.4,112.4,,,,,,1758
EC104,Makana,Local,Eastern Cape,Cacadu,Grahamstown,4376,80390,18.4,89.5,19144,44,106.5,85487,,,650,49316,1660
EC105,Ndlambe,Local,Eastern Cape,Cacadu,Port Alfred,1841,61176,33.2,86.3,16678,55.44,102.6,37934,,,412,12113,1550
EC106,Sundays River Valley,Local,Eastern Cape,Cacadu,Kirkwood,5994,54504,9.1,79.8,11766,63,120,,,,,,1585
EC107,Baviaans,Local,Eastern Cape,Cacadu,Willowmore,11668,17761,1.5,89.2,4110,72,83,6013,,,,,1831
EC108,Kouga,Local,Eastern Cape,Cacadu,Jeffreys Bay,2670,98558,36.9,87.1,25598,35.7,86.2,104601,,,863,46981,1586
EC109,Kou-Kamma,Local,Eastern Cape,Cacadu,Kareedouw,3593,40663,11.3,86.9,9611,115.4,115.4,,,,,,1739
EC121,Mbhashe,Local,Eastern Cape,Amathole,Dutywa,3169,254909,80.4,49.7,29890,,,,,,,,1611
EC122,Mnquma,Local,Eastern Cape,Amathole,Gcuwa,3270,252390,77.2,61.4,42807,,,,,,,,1637
EC123,Great Kei,Local,Eastern Cape,Amathole,Komga,1736,38991,22.5,80.2,8268,61,114,,,,,,1506
